Date,Open,High,Low,Close,Adj Close,Volume
2020-02-10,168.789993,170.119995,168.179993,169.940002,168.868881,479100
2020-02-11,170.169998,170.660004,167.570007,167.889999,166.831772,539500
2020-02-12,167.919998,169.520004,167.449997,169.279999,168.213028,515800
2020-02-13,169.050003,171.580002,169.050003,170.669998,169.594254,513700
2020-02-14,170.419998,171.679993,170.419998,171.380005,170.299774,533600
2020-02-18,170.800003,171.729996,169.880005,171.559998,170.478653,1120200
2020-02-19,165.479996,170.740005,163.000000,169.740005,168.670120,1196600
2020-02-20,168.869995,170.199997,167.080002,169.389999,168.322327,761300
2020-02-21,168.690002,170.160004,167.509995,168.690002,167.626740,912000
2020-02-24,166.259995,169.149994,165.589996,167.580002,166.523712,1096600
2020-02-25,168.089996,168.919998,162.539993,162.820007,161.793747,983700
2020-02-26,164.289993,165.960007,162.610001,163.529999,162.499268,903300
2020-02-27,161.970001,162.910004,155.789993,155.789993,154.808044,1053500
2020-02-28,152.470001,155.460007,148.710007,155.110001,154.132324,2169900
2020-03-02,154.919998,163.279999,154.350006,163.130005,162.101791,1516200
2020-03-03,163.289993,166.419998,159.500000,160.399994,159.388992,1231900
2020-03-04,162.220001,169.860001,161.309998,169.179993,168.113632,987800
2020-03-05,163.880005,166.699997,162.949997,164.970001,163.930176,1062900
2020-03-06,159.169998,164.460007,157.889999,163.369995,162.340271,1214500
2020-03-09,150.630005,156.660004,145.149994,147.919998,146.987656,2051200
2020-03-10,151.070007,156.759995,147.070007,156.740005,155.752060,1486800
2020-03-11,152.169998,155.179993,148.570007,151.679993,150.723938,1392000
2020-03-12,142.250000,149.059998,132.000000,139.490005,138.857971,1788400
2020-03-13,145.289993,147.990005,133.600006,145.610001,144.950226,1761700
2020-03-16,132.539993,142.449997,128.710007,130.059998,129.470688,1402700
2020-03-17,131.949997,148.610001,130.839996,144.710007,144.054321,1620800
2020-03-18,133.000000,137.419998,123.949997,135.110001,134.497818,1720800
2020-03-19,135.300003,144.979996,131.789993,136.479996,135.861603,1124600
2020-03-20,137.399994,137.600006,123.540001,124.250000,123.687012,1509200
2020-03-23,125.730003,125.760002,116.610001,121.180000,120.630928,1398700
2020-03-24,126.860001,138.059998,125.370003,137.279999,136.657974,1300500
2020-03-25,134.610001,138.899994,128.000000,134.300003,133.691498,1662900
2020-03-26,135.539993,143.479996,135.539993,142.100006,141.456131,1248100
2020-03-27,139.100006,143.470001,136.979996,137.770004,137.145767,1234300
2020-03-30,138.809998,147.929993,138.100006,146.869995,146.204514,793900
2020-03-31,144.919998,146.539993,138.429993,139.380005,138.748459,1422200
2020-04-01,134.220001,142.490005,133.500000,140.779999,140.142120,1343500
2020-04-02,137.029999,144.330002,134.449997,142.990005,142.342117,1044400
2020-04-03,141.679993,143.289993,138.169998,141.649994,141.008163,815700
2020-04-06,146.199997,148.809998,144.880005,147.740005,147.070587,1244000
2020-04-07,151.509995,152.889999,146.570007,147.169998,146.503174,967200
2020-04-08,147.839996,150.899994,147.169998,148.699997,148.026230,883800
2020-04-09,149.639999,152.639999,147.229996,148.259995,147.588211,1076800
2020-04-13,146.149994,148.000000,142.460007,144.160004,143.506805,704600
2020-04-14,147.880005,150.850006,146.809998,150.300003,149.618988,1070200
2020-04-15,147.559998,148.630005,146.039993,147.130005,146.463364,722300
2020-04-16,148.309998,149.940002,146.199997,149.110001,148.434372,912400
2020-04-17,153.479996,154.029999,151.399994,153.789993,153.093170,957800
2020-04-20,151.589996,151.600006,148.490005,149.320007,148.643433,722100
2020-04-21,146.970001,148.169998,144.550003,145.210007,144.552063,810300
2020-04-22,148.610001,152.830002,146.899994,151.199997,150.514893,710200
2020-04-23,151.490005,152.119995,146.720001,147.699997,147.030762,1082800
2020-04-24,149.149994,149.149994,146.630005,148.539993,147.866959,975900
2020-04-27,151.070007,152.419998,149.179993,151.800003,151.112198,797700
2020-04-28,159.300003,159.990005,151.490005,151.789993,151.102219,672600
2020-04-29,154.050003,154.820007,151.610001,153.070007,152.376450,856600
2020-04-30,152.169998,153.289993,150.470001,152.830002,152.137527,1483100
2020-05-01,149.850006,154.539993,149.850006,153.449997,152.754715,1036100
2020-05-04,152.300003,155.479996,151.380005,154.460007,153.760147,779400
2020-05-05,154.910004,159.149994,154.679993,157.490005,156.776413,965000
2020-05-06,160.000000,161.740005,154.500000,155.179993,154.476868,880500
2020-05-07,156.169998,160.250000,156.169998,158.270004,157.552872,956700
2020-05-08,160.110001,161.660004,158.199997,159.570007,158.846985,636800
2020-05-11,158.199997,161.500000,157.850006,160.710007,159.981827,673300
2020-05-12,160.179993,161.300003,156.580002,156.600006,155.890457,808100
2020-05-13,156.419998,157.000000,152.750000,154.429993,153.730270,847600
2020-05-14,155.020004,156.389999,151.179993,153.899994,153.202667,757200
2020-05-15,152.880005,155.449997,151.539993,154.559998,153.859680,824400
2020-05-18,158.130005,159.750000,156.889999,158.320007,157.602661,1145700
2020-05-19,158.419998,161.000000,157.539993,158.059998,157.343826,668500
