Date, Open, High, Low, Close
8/3/2017,22007.58,22044.85,21991.32,22026.1
8/4/2017,22058.39,22092.81,22024.64,22092.81
8/7/2017,22100.2,22121.15,22081.97,22118.42
8/8/2017,22095.14,22179.11,22057.29,22085.34
8/9/2017,22022.34,22057.19,21996.69,22048.7
8/10/2017,21988.2,21988.2,21843.94,21844.01
8/11/2017,21883.32,21911.09,21842.74,21858.32
8/14/2017,21945.64,22019.23,21945.64,21993.71
8/15/2017,22029.91,22038.92,21971.48,21998.99
8/16/2017,22031.93,22085.71,22002.47,22024.87
8/17/2017,21984.74,21984.74,21750.32,21750.73
8/18/2017,21724.88,21793.35,21641.63,21674.51
8/21/2017,21671.36,21718.74,21600.34,21703.75
8/22/2017,21739.78,21912.83,21738.13,21899.89
8/23/2017,21850.27,21866.66,21808.39,21812.09
8/24/2017,21839.9,21870.11,21765.82,21783.4
8/25/2017,21819.08,21906.86,21812.81,21813.67
8/28/2017,21832.5,21861.49,21767.94,21808.4
8/29/2017,21718,21879.22,21673.58,21865.37
8/30/2017,21859.76,21914.26,21839.47,21892.43
8/31/2017,21936.01,21985.76,21910.5,21948.1
9/1/2017,21981.77,22038.97,21974.91,21987.56
9/5/2017,21912.37,21921.09,21709.63,21753.31
9/6/2017,21815.76,21849.24,21794.07,21807.64
9/7/2017,21820.38,21850.01,21745.71,21784.78
9/8/2017,21764.43,21846.63,21731.12,21797.79
9/11/2017,21927.79,22067.1,21927.79,22057.37
9/12/2017,22090.56,22134.57,22087.09,22118.86
9/13/2017,22103.47,22158.18,22095.79,22158.18
9/14/2017,22144.96,22216.44,22135.26,22203.48
9/15/2017,22252.44,22275.02,22214.52,22268.34
9/18/2017,22297.92,22355.62,22283.35,22331.35
9/19/2017,22349.7,22386.01,22340.71,22370.8
9/20/2017,22351.38,22413.26,22314.68,22412.59
9/21/2017,22414.02,22419.51,22356.55,22359.23
9/22/2017,22334.07,22364.31,22299.58,22349.59
9/25/2017,22320.47,22359.88,22219.11,22296.09
9/26/2017,22322.03,22369.35,22279.52,22284.32
9/27/2017,22330.93,22371.1,22254.93,22340.71
9/28/2017,22306.83,22394.74,22288.97,22381.2
9/29/2017,22358.47,22405.63,22332.96,22405.09
10/2/2017,22423.47,22559.38,22416,22557.6
10/3/2017,22564.45,22646.32,22562.9,22641.67
10/4/2017,22645.67,22685.94,22632.8,22661.64
10/5/2017,22669.08,22777.04,22655.14,22775.39
10/6/2017,22762.03,22773.67,22730.85,22773.67
10/9/2017,22779.73,22803.37,22739.38,22761.07
10/10/2017,22784.76,22850.51,22770.99,22830.68
10/11/2017,22827.65,22872.89,22821.66,22872.89
10/12/2017,22854.85,22884.82,22821.13,22841.01
10/13/2017,22876.43,22905.33,22855.93,22871.72
10/16/2017,22892.92,22960.12,22887.12,22956.96
10/17/2017,22952.41,23002.2,22948.23,22997.44
10/18/2017,23087.13,23172.93,23086.75,23157.6
10/19/2017,23107.47,23167.24,23052.67,23163.04
10/20/2017,23205.18,23328.84,23201.78,23328.63
10/23/2017,23348.95,23368.37,23273.96,23273.96
10/24/2017,23346.78,23485.25,23343.23,23441.76
10/25/2017,23431.09,23451.51,23251.11,23329.46
10/26/2017,23380.89,23459.84,23380.89,23400.86
10/27/2017,23419.16,23449.4,23353.16,23434.19
10/30/2017,23405.75,23428.75,23327.87,23348.74
10/31/2017,23369.22,23406.35,23334.39,23377.24
11/1/2017,23442.9,23517.71,23388.91,23435.01
11/2/2017,23463.24,23531.38,23350.98,23516.26
11/3/2017,23549.59,23557.06,23481.57,23539.19
11/6/2017,23533.96,23574.86,23520.75,23548.42
11/7/2017,23574.03,23602.12,23484.19,23557.23
11/8/2017,23542.6,23575,23510.56,23563.36
11/9/2017,23492.09,23516.74,23310.02,23461.94
11/10/2017,23432.71,23452.2,23392.96,23422.21
11/13/2017,23367.47,23461.68,23343.34,23439.7
11/14/2017,23388.4,23414.08,23271.57,23409.47
11/15/2017,23334.59,23344.99,23242.75,23271.28
11/16/2017,23365.34,23492.19,23365.34,23458.36
11/17/2017,23433.77,23433.77,23356.01,23358.24
11/20/2017,23370.71,23456.88,23360.58,23430.33
11/21/2017,23500.15,23617.8,23500.15,23590.83
11/22/2017,23597.24,23605.77,23507.61,23526.18
11/24/2017,23552.75,23599.18,23551.59,23557.99
11/27/2017,23552.86,23638.92,23545.02,23580.78
11/28/2017,23625.19,23849.61,23617.11,23836.71
11/29/2017,23883.26,23959.76,23872.59,23940.68
11/30/2017,24013.8,24327.82,24013.8,24272.35
12/1/2017,24305.4,24322.06,23921.9,24231.59
12/4/2017,24424.11,24534.04,24288.19,24290.05
12/5/2017,24335.01,24349.74,24155.28,24180.64
12/6/2017,24171.9,24229.35,24134.49,24140.91
12/7/2017,24116.6,24262.88,24101.24,24211.48
12/8/2017,24263.26,24330.12,24225.5,24329.16
12/11/2017,24338.11,24389.72,24314.74,24386.03
12/12/2017,24452.96,24552.97,24443.83,24504.8
12/13/2017,24525.19,24666.02,24518.3,24585.43
12/14/2017,24631.01,24672.48,24508.66,24508.66
12/15/2017,24585.71,24688.62,24584.44,24651.74
12/18/2017,24739.56,24876.07,24739.56,24792.2
12/19/2017,24834.38,24850.11,24715.6,24754.75
12/20/2017,24838.09,24852.44,24697.11,24726.65
12/21/2017,24778.26,24850.91,24766.27,24782.29
12/22/2017,24764.04,24784.15,24717.51,24754.06
12/26/2017,24715.84,24778.13,24708.42,24746.21
12/27/2017,24766.52,24789.52,24731.68,24774.3
12/28/2017,24807.21,24839.23,24797.13,24837.51
